Factory,1,2,3,4,5,6,7,8,9,10,11,12
1,21,25,18,19,23,24,16,17,21,23,19,21
2,19,22,19,19,23,21,15,20,16,17,17,24
3,21,19,20,40000,22,24,14,16,18,16,20,24
4,19,22,17,17,22,22,18,18,20,500000,23,23
5,18,22,15,15,23,23,21,25,24,19,21,23
6,23,19,19,14,24,21,23,21,20,20,22,19
7,21,16,27,17,26,27,16,19,24,20,20,23
8,22,17,21,15,23,24,24,20,22,19,23,21
9,23,24,18,19,22,500000,21,18,23,15,25,21
10,18,21,21,18,26,24,18,17,18,20,21,20
11,19,12,21,19,23,20,22,19,17,19,20,24
12,18,22,24,17,21,28,18,16,22,24,25,24